0AAF 09CC                                                           
08FB 083B 078B 06EB 0657 05D0 0554 04E2                                                                                   
023B 020C 01E0 01B8 0193 0172 0153 0137 
011D 0105 00EF 00DB 00C9 00B8 00A9 009B 
008E 0082 0077 006D 0064 005C 0054 004D 
0047 0041 003C 0037 0032 002E 002A 0027 
0023 0020 001E 001B 0019 0017 0015 0013
0012 0010 000F 000E 000C 000B 000A 000A 
0009 0008 0007 0007 0006 0006 0005 0005 
0004 0004 0004 0003 0003 0003 0003 0002 
0002 0002 0002 0002 0002 0001 0001 0001 
0001 0001 0001 0001 0001 0001 0001 0001 
0000 0000 0000 0000 0000 0000 0000 0000 
